image_id,image_path,parent_id,pixel_bounds,label
6170.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/6170.png,,"(0, 0, 28, 28)",2
52476.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/52476.png,,"(0, 0, 28, 28)",2
59523.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/59523.png,,"(0, 0, 28, 28)",1
56610.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/56610.png,,"(0, 0, 28, 28)",1
31853.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/31853.png,,"(0, 0, 28, 28)",1
46403.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/46403.png,,"(0, 0, 28, 28)",2
16234.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/16234.png,,"(0, 0, 28, 28)",1
50261.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/50261.png,,"(0, 0, 28, 28)",1
21498.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/21498.png,,"(0, 0, 28, 28)",1
40714.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/40714.png,,"(0, 0, 28, 28)",1
57268.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/57268.png,,"(0, 0, 28, 28)",1
36682.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/36682.png,,"(0, 0, 28, 28)",1
10123.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/10123.png,,"(0, 0, 28, 28)",1
14345.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/14345.png,,"(0, 0, 28, 28)",1
12734.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/12734.png,,"(0, 0, 28, 28)",1
58173.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/58173.png,,"(0, 0, 28, 28)",2
48360.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/48360.png,,"(0, 0, 28, 28)",2
5323.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/5323.png,,"(0, 0, 28, 28)",2
38687.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/38687.png,,"(0, 0, 28, 28)",2
17664.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/17664.png,,"(0, 0, 28, 28)",1
29952.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/29952.png,,"(0, 0, 28, 28)",1
51631.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/51631.png,,"(0, 0, 28, 28)",1
36872.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/36872.png,,"(0, 0, 28, 28)",2
1145.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/1145.png,,"(0, 0, 28, 28)",2
45644.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/45644.png,,"(0, 0, 28, 28)",2
15073.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/15073.png,,"(0, 0, 28, 28)",1
43235.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/43235.png,,"(0, 0, 28, 28)",2
43553.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/43553.png,,"(0, 0, 28, 28)",1
8161.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/8161.png,,"(0, 0, 28, 28)",1
53740.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/53740.png,,"(0, 0, 28, 28)",2
47735.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/47735.png,,"(0, 0, 28, 28)",1
50249.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/50249.png,,"(0, 0, 28, 28)",1
3034.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/3034.png,,"(0, 0, 28, 28)",2
18225.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/18225.png,,"(0, 0, 28, 28)",2
17116.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/17116.png,,"(0, 0, 28, 28)",2
47721.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/47721.png,,"(0, 0, 28, 28)",1
16208.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/16208.png,,"(0, 0, 28, 28)",2
42881.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/42881.png,,"(0, 0, 28, 28)",1
15701.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/15701.png,,"(0, 0, 28, 28)",2
1151.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/1151.png,,"(0, 0, 28, 28)",2
45650.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/45650.png,,"(0, 0, 28, 28)",1
11201.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/11201.png,,"(0, 0, 28, 28)",2
4029.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/4029.png,,"(0, 0, 28, 28)",1
5337.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/5337.png,,"(0, 0, 28, 28)",2
41436.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/41436.png,,"(0, 0, 28, 28)",2
57903.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/57903.png,,"(0, 0, 28, 28)",1
20553.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/20553.png,,"(0, 0, 28, 28)",2
30740.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/30740.png,,"(0, 0, 28, 28)",2
32157.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/32157.png,,"(0, 0, 28, 28)",2
24735.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/24735.png,,"(0, 0, 28, 28)",2
34526.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/34526.png,,"(0, 0, 28, 28)",2
13827.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/13827.png,,"(0, 0, 28, 28)",2
36457.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/36457.png,,"(0, 0, 28, 28)",1
37991.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/37991.png,,"(0, 0, 28, 28)",2
26644.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/26644.png,,"(0, 0, 28, 28)",2
49283.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/49283.png,,"(0, 0, 28, 28)",1
16793.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/16793.png,,"(0, 0, 28, 28)",2
48189.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/48189.png,,"(0, 0, 28, 28)",1
39770.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/39770.png,,"(0, 0, 28, 28)",2
49297.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/49297.png,,"(0, 0, 28, 28)",2
14184.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/14184.png,,"(0, 0, 28, 28)",2
638.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/638.png,,"(0, 0, 28, 28)",1
55866.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/55866.png,,"(0, 0, 28, 28)",2
8388.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/8388.png,,"(0, 0, 28, 28)",1
24721.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/24721.png,,"(0, 0, 28, 28)",1
43962.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/43962.png,,"(0, 0, 28, 28)",2
30754.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/30754.png,,"(0, 0, 28, 28)",2
25417.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/25417.png,,"(0, 0, 28, 28)",2
14812.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/14812.png,,"(0, 0, 28, 28)",1
37013.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/37013.png,,"(0, 0, 28, 28)",2
28133.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/28133.png,,"(0, 0, 28, 28)",1
59912.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/59912.png,,"(0, 0, 28, 28)",1
3593.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/3593.png,,"(0, 0, 28, 28)",1
26678.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/26678.png,,"(0, 0, 28, 28)",2
50936.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/50936.png,,"(0, 0, 28, 28)",2
39980.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/39980.png,,"(0, 0, 28, 28)",1
18796.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/18796.png,,"(0, 0, 28, 28)",2
23700.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/23700.png,,"(0, 0, 28, 28)",2
35162.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/35162.png,,"(0, 0, 28, 28)",2
34268.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/34268.png,,"(0, 0, 28, 28)",2
33507.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/33507.png,,"(0, 0, 28, 28)",2
604.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/604.png,,"(0, 0, 28, 28)",1
32619.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/32619.png,,"(0, 0, 28, 28)",2
3587.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/3587.png,,"(0, 0, 28, 28)",1
57095.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/57095.png,,"(0, 0, 28, 28)",1
50922.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/50922.png,,"(0, 0, 28, 28)",2
27572.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/27572.png,,"(0, 0, 28, 28)",1
37761.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/37761.png,,"(0, 0, 28, 28)",1
27214.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/27214.png,,"(0, 0, 28, 28)",2
29239.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/29239.png,,"(0, 0, 28, 28)",1
35610.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/35610.png,,"(0, 0, 28, 28)",2
53595.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/53595.png,,"(0, 0, 28, 28)",2
52853.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/52853.png,,"(0, 0, 28, 28)",2
14635.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/14635.png,,"(0, 0, 28, 28)",2
6372.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/6372.png,,"(0, 0, 28, 28)",1
32194.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/32194.png,,"(0, 0, 28, 28)",2
12244.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/12244.png,,"(0, 0, 28, 28)",2
11995.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/11995.png,,"(0, 0, 28, 28)",1
51369.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/51369.png,,"(0, 0, 28, 28)",1
10453.png,/Users/rwood/LwM/MapReader/worked_examples/non-geospatial/classification_mnist/small_mnist/10453.png,,"(0, 0, 28, 28)",2
